id,name,description,descriptionHTML,mail,website,instagramHandle,facebookHandle,twitterHandle,linkedinHandle,discordLink,telegramLink,youtubeChannel,tiktokHandle,Social,Treffen,Adresse,Anmerkungen
Grüne,Grüne Hochschulgruppe Konstanz,"Du wünschst dir eine Universität, die Wert auf Nachhaltigkeit, Diskriminierungsfreiheit und Chancengleichheit legt?

Als Grüne Hochschulgruppe möchten wir uns für eine ökologisch-soziale, queer-feministische, pro-europäische, antifaschistische, antirassistische und global denkende Universität einsetzen. Wir fordern die Zielsetzung einer klimaneutralen und sozial gerechten Universität, möchten uns auch außerhalb der Hochschule für ein inklusives und zeitgerechtes Konstanz im Studierendenparlament einsetzen und eure Anliegen vertreten.","<p>Du wünschst dir eine Universität, die Wert auf Nachhaltigkeit, Diskriminierungsfreiheit und Chancengleichheit legt?</p>
<p>Als Grüne Hochschulgruppe möchten wir uns für eine ökologisch-soziale, queer-feministische, pro-europäische, antifaschistische, antirassistische und global denkende Universität einsetzen. Wir fordern die Zielsetzung einer klimaneutralen und sozial gerechten Universität, möchten uns auch außerhalb der Hochschule für ein inklusives und zeitgerechtes Konstanz im Studierendenparlament einsetzen und eure Anliegen vertreten.</p>
",ghg@uni-konstanz.de,,,,,,,,,,,,,Website(-Link) disfunktional: https://www.uni-konstanz.de/ghg
Jusos,Juso Hochschulgruppe Konstanz,"Die Juso-Hochschulgruppe ist eine der SPD nahe stehende, aber unabhängige studentische Gruppierung.
Du musst also nicht SPD-Mitglied sein, um bei den Jusos mitzugestalten.
Unsere Hochschulgruppe besteht aus Studierenden aller Fachbereiche, die Interesse an Politik haben und sich den Grundwerten der Sozialdemokratie verbunden fühlen.

Jusos beschäftigen sich mit so ziemlich jedem politischen Thema, in der Hochschulgruppe jedoch hauptsächlich mit Bildungspolitik und vor allem aktuelle Hochschulpolitik. An dieser beteiligen wir uns aktiv durch die Unterstützung des AStAs, StuPa sowie dem Senat und eigenen Vertretungen in diesen. Zudem organisieren wir auch Veranstaltungen - wie beispielsweise Podiumsdiskussionen oder Vorträge mit Gästen, die wir an die Universität einladen.

Haben wir dein Interesse geweckt? Dann schau' doch einfach mal bei uns vorbei - wir freuen uns auf dich!","<p>Die Juso-Hochschulgruppe ist eine der SPD nahe stehende, aber unabhängige studentische Gruppierung. Du musst also nicht SPD-Mitglied sein, um bei den Jusos mitzugestalten. Unsere Hochschulgruppe besteht aus Studierenden aller Fachbereiche, die Interesse an Politik haben und sich den Grundwerten der Sozialdemokratie verbunden fühlen.</p>
<p>Jusos beschäftigen sich mit so ziemlich jedem politischen Thema, in der Hochschulgruppe jedoch hauptsächlich mit Bildungspolitik und vor allem aktuelle Hochschulpolitik. An dieser beteiligen wir uns aktiv durch die Unterstützung des AStAs, StuPa sowie dem Senat und eigenen Vertretungen in diesen. Zudem organisieren wir auch Veranstaltungen - wie beispielsweise Podiumsdiskussionen oder Vorträge mit Gästen, die wir an die Universität einladen.</p>
<p>Haben wir dein Interesse geweckt? Dann schau’ doch einfach mal bei uns vorbei - wir freuen uns auf dich!</p>
",juso-hsg@uni-konstanz.de,,https://instagram.com/jusos_konstanz,,,,,,,,,"i.d.R. Mittwoch, 19 Uhr, Fischmarkt 2",,
Liberale,Liberale Hochschulgruppe Konstanz,,"
",liberale.hsg@uni-konstanz.de,https://lhg-bw.de/konstanz/,,,,,,,,,,,,Beschreibung fehlt noch
LGL,Links-Grüne Liste (LGL),"Wir sind die Links-Grüne Liste (LGL), vormals Linke Solidarische Demokrat*innen (LSD). Wir verstehen uns als linke, solidarische, demokratische & feministische Kraft in der Studierendenvertretung der Universität Konstanz. Wir setzen uns ein für:

- Freies und selbstbestimmtes Studieren
- Soziales und solidarisches Miteinander
- Nachhaltige Konzepte im Studienleben
- Kommunale Mitbestimmung der Studierenden
- Mitwirkungsmöglichkeiten und Engagementförderung

ein.

Im Detail kannst du dir unsere Themen & Schwerpunkte auf unserer [Website](www.uni-konstanz.de/hsg/links-gruene-liste-lgl) ansehen.

### Unsere Arbeit
Im letzten Jahr haben wir uns in StuVe und Senat aktiv eingesetzt für eine bessere Bezahlung studentischer Hilfskräfte, Verbesserung der Lebenslage von nichtbinären und trans Studierenden durch leichtere Namensänderung auf Uni-Dokumenten und mehr Allgender-Toiletten, sowie eine Reform des sog. Nachteilsausgleichs, der speziell Studierende mit psychischen Erkrankungen vor unverhältnismäßige Hürden stellt.

### Wo könnt ihr uns finden?
Unsere Treffen werden vor allem über unseren [Instagram-Account](https://www.instagram.com/lgl.konstanz) angekündigt. Meldet euch einfach unverbindlich dort, wenn ihr Interesse habt, wir freuen uns auf euch!","<p>Wir sind die Links-Grüne Liste (LGL), vormals Linke Solidarische Demokrat*innen (LSD). Wir verstehen uns als linke, solidarische, demokratische &amp; feministische Kraft in der Studierendenvertretung der Universität Konstanz. Wir setzen uns ein für:</p>
<ul>
<li>Freies und selbstbestimmtes Studieren</li>
<li>Soziales und solidarisches Miteinander</li>
<li>Nachhaltige Konzepte im Studienleben</li>
<li>Kommunale Mitbestimmung der Studierenden</li>
<li>Mitwirkungsmöglichkeiten und Engagementförderung</li>
</ul>
<p>ein.</p>
<p>Im Detail kannst du dir unsere Themen &amp; Schwerpunkte auf unserer <a href=""www.uni-konstanz.de/hsg/links-gruene-liste-lgl"">Website</a> ansehen.</p>
<h3 id=""unsere-arbeit"">Unsere Arbeit</h3>
<p>Im letzten Jahr haben wir uns in StuVe und Senat aktiv eingesetzt für eine bessere Bezahlung studentischer Hilfskräfte, Verbesserung der Lebenslage von nichtbinären und trans Studierenden durch leichtere Namensänderung auf Uni-Dokumenten und mehr Allgender-Toiletten, sowie eine Reform des sog. Nachteilsausgleichs, der speziell Studierende mit psychischen Erkrankungen vor unverhältnismäßige Hürden stellt.</p>
<h3 id=""wo-könnt-ihr-uns-finden"">Wo könnt ihr uns finden?</h3>
<p>Unsere Treffen werden vor allem über unseren <a href=""https://www.instagram.com/lgl.konstanz"">Instagram-Account</a> angekündigt. Meldet euch einfach unverbindlich dort, wenn ihr Interesse habt, wir freuen uns auf euch!</p>
",lgl.hsg@uni-konstanz.de,https://www.uni-konstanz.de/hsg/links-gruene-liste-lgl,https://www.instagram.com/lgl.konstanz,,,,,,,,,,,
RCDS,Ring Christlich-Demokartischer Studenten Konstanz,,"
",rcds@uni-konstanz.de,https://konstanz.rcds-bw.website/,,,,,,,,,,,,"Website scheint nicht gepflegt zu werden
Beschreibung fehlt"
Walpartei,Walpartei,"Wir sind eine junge, politische Hochschulgruppe, die 2022 gegründet wurde. Zum ersten Mal sind wir diesen Sommer bei der Wal im Studierendenparlament angetreten – und das wurde gleich ein voller Erfolg: Mit drei Sitzen sind wir fünftstärkste Fraktion und sind somit sogar im AstA vertreten.

### Inhalte
Inhalte werden grundsätzlich überschätzt. Dennoch gehören wir zu der Minderheit, die sich die Mühe macht, ein paar Inhalte für ihr Walprogramm zu benutzen, um sie dann wieder zu vergessen – wie jede gute Partei.

### Einige unserer Kernpunkte:
- *Rettet die Bodenseewale! - der Abschuss muss sofort beendet werden*
- *Mehr Platz für die Mensa – Sektion 3 abschaffen!*
- *Rolf Zuckowski auf das Campus-Festival!*
Bisher konnten wir leider noch keine Forderung umsetzten, was gut ist: Damit müssen wir die Walplakate nächstes Jahr nicht neu drucken.

### Metaebene
Neben ernsthafter Politik ist es Ziel der Walpartei, grundsätzlich auf Walen aufmerksam zu machen. Die Walbeteiligung in Konstanz, aber auch an Universitäten generell, ist unfassbar niedrig. Mit intensivem Walkampf möchten wir dafür sorgen, dass nicht nur wir gewählt werden (im Notfall auch das – dann seid ihr aber selbst schuld), sondern dass auch andere Parteien gewählt werden; denn nur so gelingt demokratische Legitimität.

### Wie kann ich mitmachen?
Bist du ein Wal? Super, dann bist du automatisch Mitglied. Ansonsten gibt es die Möglichkeit zwischen einem Basis-Paket und einem Premium-Abo. Wir empfehlen das Premium-Abo, bei dem du ab einem Monatsbeitrag von 7.000€ auf der Gästeliste aller unserer Veranstaltungen stehst (keine Sorge, das wird dich nicht viel Zeit kosten). Im Basis-Paket ist die Mitgliedschaft kostenlos, du musst allerdings einmalig eine Mail schreiben.
Wenn dich das alles nicht überzeugt, kannst du uns auch einfach auf Instagram folgen.","<p>Wir sind eine junge, politische Hochschulgruppe, die 2022 gegründet wurde. Zum ersten Mal sind wir diesen Sommer bei der Wal im Studierendenparlament angetreten – und das wurde gleich ein voller Erfolg: Mit drei Sitzen sind wir fünftstärkste Fraktion und sind somit sogar im AstA vertreten.</p>
<h3 id=""inhalte"">Inhalte</h3>
<p>Inhalte werden grundsätzlich überschätzt. Dennoch gehören wir zu der Minderheit, die sich die Mühe macht, ein paar Inhalte für ihr Walprogramm zu benutzen, um sie dann wieder zu vergessen – wie jede gute Partei.</p>
<h3 id=""einige-unserer-kernpunkte"">Einige unserer Kernpunkte:</h3>
<ul>
<li><em>Rettet die Bodenseewale! - der Abschuss muss sofort beendet werden</em></li>
<li><em>Mehr Platz für die Mensa – Sektion 3 abschaffen!</em></li>
<li><em>Rolf Zuckowski auf das Campus-Festival!</em> Bisher konnten wir leider noch keine Forderung umsetzten, was gut ist: Damit müssen wir die Walplakate nächstes Jahr nicht neu drucken.</li>
</ul>
<h3 id=""metaebene"">Metaebene</h3>
<p>Neben ernsthafter Politik ist es Ziel der Walpartei, grundsätzlich auf Walen aufmerksam zu machen. Die Walbeteiligung in Konstanz, aber auch an Universitäten generell, ist unfassbar niedrig. Mit intensivem Walkampf möchten wir dafür sorgen, dass nicht nur wir gewählt werden (im Notfall auch das – dann seid ihr aber selbst schuld), sondern dass auch andere Parteien gewählt werden; denn nur so gelingt demokratische Legitimität.</p>
<h3 id=""wie-kann-ich-mitmachen"">Wie kann ich mitmachen?</h3>
<p>Bist du ein Wal? Super, dann bist du automatisch Mitglied. Ansonsten gibt es die Möglichkeit zwischen einem Basis-Paket und einem Premium-Abo. Wir empfehlen das Premium-Abo, bei dem du ab einem Monatsbeitrag von 7.000€ auf der Gästeliste aller unserer Veranstaltungen stehst (keine Sorge, das wird dich nicht viel Zeit kosten). Im Basis-Paket ist die Mitgliedschaft kostenlos, du musst allerdings einmalig eine Mail schreiben. Wenn dich das alles nicht überzeugt, kannst du uns auch einfach auf Instagram folgen.</p>
",walpartei.hsg@uni-konstanz.de,,https://www.instagram.com/walpartei.konstanz,,,,,,,,,,,
Adtendo,Adtendo e.V. (Refugee Psycological Care),"Studierende vermitteln in einer psychosozialen Beratung für Geflüchtete, wenn möglich/nötig, Therapieplätze, Freizeitangebote und andere Kontakte, die dem Klienten weiterhelfen. Die Beratung findet derzeit online im Videochat statt. Regulär gibt es außerdem eine Kunstgruppe für Kinder und Jugendliche und eine Spiel- und Sport-Gruppe, die sich unter dem Semester wöchentlich mit geflüchteten Kindern und Jugendlichen trifft. Im SS20 packten die Kindergruppen Spiele- und Bastelpäckchen, die den geflüchteten Kindern in ihren Briefkästen hinterlegt wurden.

Wir brauchen und freuen uns auf euch in folgenden Bereichen: Beratungsgespräche, Kunstgruppe, Spiel- und Sport-Gruppe, Projektmanagement, Öffentlichkeitsarbeit, interne Teamarbeit, Medien und Finanzen.

Engagement & Mitwirken können als Schlüsselqualifikation angerechnet werden.","<p>Studierende vermitteln in einer psychosozialen Beratung für Geflüchtete, wenn möglich/nötig, Therapieplätze, Freizeitangebote und andere Kontakte, die dem Klienten weiterhelfen. Die Beratung findet derzeit online im Videochat statt. Regulär gibt es außerdem eine Kunstgruppe für Kinder und Jugendliche und eine Spiel- und Sport-Gruppe, die sich unter dem Semester wöchentlich mit geflüchteten Kindern und Jugendlichen trifft. Im SS20 packten die Kindergruppen Spiele- und Bastelpäckchen, die den geflüchteten Kindern in ihren Briefkästen hinterlegt wurden.</p>
<p>Wir brauchen und freuen uns auf euch in folgenden Bereichen: Beratungsgespräche, Kunstgruppe, Spiel- und Sport-Gruppe, Projektmanagement, Öffentlichkeitsarbeit, interne Teamarbeit, Medien und Finanzen.</p>
<p>Engagement &amp; Mitwirken können als Schlüsselqualifikation angerechnet werden.</p>
",adtendo.hsg@uni-konstanz.de,,,,,,,,,,,,,
AIAS,AIAS – Studierende gegen Blutkrebs,"AIAS - Studierende gegen Blutkrebs

Wir von AIAS Konstanz bringen seit 2017 den deutschlandweiten Kampf von Studierenden gegen Blutkrebs in unsere Stadt!

Alle 12 Minuten erhält in Deutschland ein Mensch die Diagnose Blutkrebs, weltweit alle 27 Sekunden. Nur ein Drittel findet dabei eine:n passende:n Spender:in innerhalb der Familie. Hier setzt unsere Mission an. Vor allem junge Menschen sind meist gesund und können mit einer Stammzellspende PatientInnen die Chance auf ein neues Leben schenken. Unser Ziel ist es, möglichst viele Studierende in die Stammzellspenderdatei aufzunehmen.

Wir klären Euch über Blutkrebs und die Stammzellspende auf und ermöglichen eine Registrierung zum Lebensretter am Campus – sozusagen zwischen zwei Vorlesungen.","<p>AIAS - Studierende gegen Blutkrebs</p>
<p>Wir von AIAS Konstanz bringen seit 2017 den deutschlandweiten Kampf von Studierenden gegen Blutkrebs in unsere Stadt!</p>
<p>Alle 12 Minuten erhält in Deutschland ein Mensch die Diagnose Blutkrebs, weltweit alle 27 Sekunden. Nur ein Drittel findet dabei eine:n passende:n Spender:in innerhalb der Familie. Hier setzt unsere Mission an. Vor allem junge Menschen sind meist gesund und können mit einer Stammzellspende PatientInnen die Chance auf ein neues Leben schenken. Unser Ziel ist es, möglichst viele Studierende in die Stammzellspenderdatei aufzunehmen.</p>
<p>Wir klären Euch über Blutkrebs und die Stammzellspende auf und ermöglichen eine Registrierung zum Lebensretter am Campus – sozusagen zwischen zwei Vorlesungen.</p>
",aias.hsg@uni-konstanz.de,http://aias.de/standorte/konstanz/,,,,,,,,,,,,
Amnesty,Amnesty International,"Amnesty International

Täglich werden überall auf der Welt Menschenrechte missachtet und Menschenrechtsaktivist\*innen oder Journalist\*innen für ihre Arbeit eingeschüchtert, bedroht oder inhaftiert. 
Seit 1970 setzt sich Amnesty International Konstanz nun schon für diese Personen auf Grundlage der Allgemeinen Erklärung der Menschenrechte ein. Wir zeigen durch regelmäßige Aktionen unsere Solidarität mit Aktivist*innen in aller Welt, wirken mit Mahnwachen dem Vergessen entgegen und üben mit Petitionen Druck auf unterdrückerische Regime oder unsere eigene Regierung aus.

Dafür treffen wir uns zum Plenum, bei dem wir in der großen Gruppe oder kleineren Themengruppen Projekte und Aktionen erarbeiten. Jede Form des Engagements ist erwünscht und willkommen: ob das Schreiben einer Rede für eine Mahnwache, dem Planen einer Film-Vorführung oder das Organisieren des nächsten Themen-Vortrags.","<p>Amnesty International</p>
<p>Täglich werden überall auf der Welt Menschenrechte missachtet und Menschenrechtsaktivist*innen oder Journalist*innen für ihre Arbeit eingeschüchtert, bedroht oder inhaftiert. Seit 1970 setzt sich Amnesty International Konstanz nun schon für diese Personen auf Grundlage der Allgemeinen Erklärung der Menschenrechte ein. Wir zeigen durch regelmäßige Aktionen unsere Solidarität mit Aktivist*innen in aller Welt, wirken mit Mahnwachen dem Vergessen entgegen und üben mit Petitionen Druck auf unterdrückerische Regime oder unsere eigene Regierung aus.</p>
<p>Dafür treffen wir uns zum Plenum, bei dem wir in der großen Gruppe oder kleineren Themengruppen Projekte und Aktionen erarbeiten. Jede Form des Engagements ist erwünscht und willkommen: ob das Schreiben einer Rede für eine Mahnwache, dem Planen einer Film-Vorführung oder das Organisieren des nächsten Themen-Vortrags.</p>
",amnesty.konstanz@uni-konstanz.de,http://www.amnesty-konstanz.de/,https://www.instagram.com/amnesty.konstanz,,,,,,,,,"Donnerstags, 18:45 Uhr, Café Mondial",,"Auf der StuVe Seite geht die Verlinkung der Email an arbeiterkind – Whoopsie
Die Twitter-Seite scheint gelöscht zu sein (verständlich) [REMOVED: https://twitter.com/AmnestyKonstanz]"
Arbeiterkind,Arbeiterkind,,"
",arbeiterkind.hsg@uni-konstanz.de,http://www.konstanz.arbeiterkind.de/,,,,,,,,,,,,Beschreibung fehlt
